"CRS_DEP_TIME","DEP_TIME","Freq"
0,0,3
0,15,7
0,30,3
0,60,1
0,75,1
0,1440,5
15,0,101
15,15,830
15,30,172
15,45,63
15,60,26
15,75,18
15,90,17
15,105,10
15,120,4
15,135,7
15,150,2
15,165,2
15,180,2
15,195,1
15,225,1
15,1425,1
15,1440,10
30,0,1
30,15,308
30,30,1391
30,45,308
30,60,99
30,75,40
30,90,31
30,105,24
30,120,15
30,135,6
30,150,4
30,165,6
30,180,4
30,210,1
30,540,1
45,15,2
45,30,460
45,45,1152
45,60,194
45,75,83
45,90,47
45,105,28
45,120,19
45,135,10
45,150,3
45,165,4
45,180,2
45,195,3
45,255,1
45,285,1
45,330,1
45,375,1
60,45,1023
60,60,1833
60,75,182
60,90,65
60,105,42
60,120,32
60,135,11
60,150,16
60,165,10
60,180,3
60,195,6
60,210,4
60,225,1
60,255,1
60,270,1
60,360,1
60,540,1
75,45,5
75,60,451
75,75,385
75,90,85
75,105,19
75,120,23
75,135,14
75,150,3
75,165,8
75,180,4
75,195,2
75,210,1
75,225,1
75,255,3
75,270,1
75,300,1
90,75,203
90,90,411
90,105,91
90,120,20
90,135,11
90,150,8
90,165,4
90,180,2
90,210,2
90,225,1
90,255,1
90,330,1
105,75,1
105,90,310
105,105,613
105,120,164
105,135,61
105,150,24
105,165,14
105,180,12
105,195,6
105,210,4
105,225,4
105,240,5
105,255,1
105,270,1
105,285,2
105,315,1
105,330,1
105,420,1
120,90,2
120,105,209
120,120,201
120,135,35
120,150,7
120,165,8
120,180,4
120,195,6
120,210,1
120,225,1
120,240,1
120,270,3
120,300,1
120,315,1
120,345,1
120,585,1
135,120,35
135,135,27
135,150,5
135,165,5
135,180,1
135,195,1
135,210,2
135,225,1
135,285,1
135,300,1
135,315,1
135,465,1
150,135,105
150,150,119
150,165,10
150,180,7
150,195,3
150,210,1
150,225,1
150,255,1
150,285,1
150,1050,1
165,135,2
165,150,83
165,165,62
165,180,13
165,195,8
165,210,3
165,225,1
165,240,2
165,255,1
165,330,1
180,150,2
