"CRS_DEP_TIME","DEP_TIME","Freq"
0,0,1
0,0,2
0,0,6
0,0,7
0,0,8
0,0,10
0,0,5
0,15,1
0,15,12
0,15,5
0,15,3
0,15,4
0,15,2
0,30,1
0,30,2
0,45,1
0,60,1
0,75,1
0,90,1
0,105,1
0,180,1
0,1425,1
0,1440,1
0,1440,4
15,0,1
15,0,3
15,0,4
15,0,2
15,0,7
15,0,5
15,0,10
15,0,16
15,0,19
15,0,29
15,0,26
15,15,1
15,15,5
15,15,3
15,15,7
15,15,8
15,15,4
15,15,2
15,15,19
15,15,22
15,15,29
15,15,25
15,15,14
15,15,6
15,15,11
15,15,23
15,15,36
15,15,50
15,15,58
15,15,61
15,15,51
15,15,16
15,15,21
15,15,26
15,30,1
15,30,2
15,30,3
15,30,14
15,30,6
15,30,5
15,30,4
15,30,33
15,30,9
15,30,8
15,30,22
15,45,1
15,45,3
15,45,5
15,45,4
15,45,2
15,45,7
15,45,11
15,45,8
15,45,6
15,60,1
15,60,2
15,60,3
15,75,1
15,75,2
15,90,1
15,90,2
15,105,1
15,105,2
15,120,1
15,135,1
15,135,2
15,150,1
15,165,1
15,180,1
15,195,1
15,210,1
15,1425,1
15,1440,1
15,1440,2
30,0,1
30,15,4
30,15,55
30,15,46
30,15,19
30,15,20
30,15,2
30,15,5
30,15,8
30,15,16
30,15,21
30,15,26
30,15,31
30,15,22
30,15,1
30,15,6
30,15,11
30,15,12
30,15,24
30,15,33
30,15,83
30,15,3
30,15,9
30,30,9
30,30,12
30,30,1
30,30,25
30,30,28
30,30,20
30,30,13
30,30,11
30,30,10
30,30,2
30,30,6
30,30,3
30,30,35
30,30,57
30,30,68
30,30,93
30,30,84
30,30,94
30,30,96
30,30,77
30,30,55
30,30,46
30,30,47
30,30,22
30,30,4
30,30,7
30,30,24
30,30,8
30,30,5
30,30,40
30,45,2
30,45,4
30,45,3
30,45,1
30,45,11
30,45,9
30,45,6
30,45,5
30,45,8
30,45,65
30,45,29
30,45,28
30,45,27
30,45,24
30,45,16
30,45,15
30,45,13
30,45,10
30,45,41
30,45,48
30,45,12
30,60,1
30,60,3
30,60,8
30,60,6
30,60,2
30,60,5
30,60,4
30,60,7
30,75,2
30,75,3
30,75,1
30,75,4
30,90,1
30,90,3
30,90,2
30,90,4
30,105,2
30,105,1
30,105,3
30,120,1
30,120,2
30,135,1
30,150,1
30,165,1
30,180,1
30,195,1
30,240,1
45,15,2
45,15,1
45,15,3
45,30,7
45,30,17
45,30,2
45,30,1
45,30,5
45,30,4
45,30,14
45,30,23
45,30,42
45,30,64
45,30,58
45,30,3
45,30,38
45,45,8
45,45,5
45,45,1
45,45,2
45,45,43
45,45,34
45,45,28
45,45,22
45,45,12
45,45,9
45,45,13
45,45,3
45,45,4
45,45,6
45,45,11
45,45,26
45,45,27
45,45,30
45,45,29
45,45,33
45,45,10
45,45,7
45,45,14
45,45,16
45,45,40
45,45,54
45,45,50
45,45,69
45,45,49
45,60,1
45,60,2
45,60,4
45,60,9
45,60,6
45,60,5
45,60,11
45,60,3
45,60,29
45,60,17
45,60,15
45,60,14
45,75,2
45,75,1
